,station,state,country,lat,lon,timezone,elev,HDD,CDD,ClimateZone,design_cooling_T,design_heating_T,1,2,3,4,5,6,7,8,9,10,11,12
035340,BIRMINGHAM,-,GBR,52.45,-1.73,0.0,99.0,3055,741,5C - cool marine,23.2,-1.9409999999999996,4.594892473118282,3.724255952380951,6.374731182795696,7.44763888888889,11.034408602150544,14.228333333333337,17.17553763440859,16.27392473118281,13.146388888888879,9.87620967741937,6.893055555555553,4.98534946236559
037760,LONDON/GATWICK,-,GBR,51.15,-0.18,0.0,62.0,2866,864,4C - mixed marine,24.6,-2.8409999999999993,4.401209677419359,3.940029761904763,6.835215053763435,8.326111111111114,12.472849462365593,15.011249999999986,17.3135752688172,16.72405913978495,13.848888888888878,10.55672043010753,7.815138888888891,5.10725806451613
038950,JERSEY/CHANNEL ISLANDS,-,GBR,49.22,-2.2,0.0,84.0,2512,908,4C - mixed marine,21.6,1.4,6.5358870967741876,6.272470238095239,7.384408602150534,8.817361111111111,11.995967741935486,14.232222222222212,16.362096774193574,17.206317204301058,15.024722222222222,12.936693548387115,9.353194444444442,7.340322580645163
039170,BELFAST,-,GBR,54.65,-6.22,0.0,81.0,3245,511,5C - cool marine,19.7,-0.9000000000000001,4.059677419354833,4.115029761904761,6.031048387096773,7.924583333333329,10.842876344086022,12.742222222222221,14.907526881720434,14.689112903225803,11.951388888888898,9.752553763440861,6.688194444444442,5.258333333333336
039530,VALENTIA OBSERVATORY,-,IRL,51.93,-10.25,0.0,14.0,2573,698,4C - mixed marine,19.0,0.5,7.676747311827951,7.336011904761904,8.42903225806452,9.23986111111111,11.302553763440853,13.493333333333345,15.31895161290324,15.284811827957006,13.69319444444446,11.789919354838723,9.150555555555565,8.429973118279566
039600,KILKENNY,-,IRL,52.67,-7.27,0.0,64.0,3024,631,5C - cool marine,21.9,-1.6,4.362096774193547,4.820684523809515,7.156317204301075,8.76166666666666,10.45040322580645,13.599722222222207,15.85403225806456,14.737768817204293,13.126388888888911,10.382795698924722,7.102083333333323,5.938440860215052
039650,BIRR,-,IRL,53.08,-7.88,0.0,72.0,3055,616,5C - cool marine,20.840999999999987,-1.6409999999999996,5.137096774193542,4.622172619047616,6.97486559139785,8.904583333333344,10.75739247311829,13.625416666666688,15.546370967741938,14.486693548387102,12.782638888888915,10.270833333333332,5.979861111111112,6.177284946236555
039690,DUBLIN,-,IRL,53.43,-6.25,0.0,85.0,2992,639,4C - mixed marine,20.240999999999985,-0.6,5.780107526881722,4.824999999999994,6.812634408602148,8.507499999999997,10.549059139784946,13.518472222222224,15.648521505376364,14.611424731182783,13.208055555555564,10.509408602150542,7.189027777777785,6.244354838709669
039740,CLONES,-,IRL,54.18,-7.23,0.0,89.0,3251,529,5C - cool marine,20.7,-1.8000000000000003,4.252553763440864,4.201041666666667,6.104435483870978,8.139861111111124,10.690053763440867,13.58555555555558,15.0962365591398,13.96276881720433,12.307222222222215,9.536021505376349,5.64777777777778,5.290188172043011
039760,BELMULLET,-,IRL,54.23,-10.0,0.0,10.0,2816,577,4C - mixed marine,18.2,2.1,6.490322580645153,6.320089285714291,7.707392473118275,9.05666666666667,11.002419354838725,13.123333333333335,14.642204301075271,14.836693548387116,13.076805555555564,11.339516129032265,8.354444444444447,7.153225806451609
